Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,1996 RQ20,39.47,48.072,6.9,20160113,24.4,359.2,11.6,31.7,0.098,43.771,6,MPO 339365,9/6/1996,675,D. L. Rabinowitz
,1996 KY1,35.712,43.322,8,19960517,0,6,248.6,30.9,0.096,39.517,( 8d),MPC 27429,5/16/1996,568,"J. X. Luu, C. A. Trujillo,"
,1996 KX1,35.704,43.381,8.5,19960517,360,17.9,197.5,1.5,0.097,39.543,( 2d),MPC 27429,5/22/1996,568,"J. Chen, C. A. Trujillo, D"
,1996 KV1,40.175,50.202,7.3,20160113,356.9,193.5,92.6,8.1,0.111,45.189,4,MPO 2623,5/21/1996,568,"C. A. Trujillo, D. C. Jewi"
,1995 YY3,30.769,48.116,8.5,20160113,29.8,322.7,99.7,0.4,0.22,39.442,2,MPC 27920,12/24/1995,568,"J. Chen, D. C. Jewitt"
,1995 WY2,40.549,52.701,7.2,20160113,288.8,108.4,78.8,1.6,0.13,46.625,5,MPO 331225,11/18/1995,568,"D. C. Jewitt, J. X. Luu"
,1995 KK1,31.981,46.969,8.5,19950523,21.7,328.4,228.1,9.3,0.19,39.475,( 1d),MPC 25315,5/30/1995,568,D. C. Jewitt
,1995 KJ1,43.468,43.468,6.5,19950612,0,180.6,47.8,2.7,0,43.468,( 26d),MPC 25514,5/30/1995,568,J. Chen
,1995 HM5,29.579,49.9,7.7,20160113,352.8,59.6,186.6,4.8,0.256,39.739,6,MPO 206037,4/26/1995,807,J. X. Luu
,1995 GY7,41.347,41.347,7.5,19950324,0,203.5,34.5,0.9,0,41.347,( 1d),MPC 25408,4/6/1995,809,C.-I. Lagerkvist
,1995 GA7,34.751,44.16,7.5,19950324,63.9,100.2,21,3.5,0.119,39.455,( 2d),MPC 25186,4/3/1995,568,"J. Chen, D. C. Jewitt"
,1995 GJ,39.006,46.808,7,19950324,360,180.3,338.9,22.9,0.091,42.907,( 1d),MPC 25185,4/3/1995,568,"D. C. Jewitt, J. Chen"
,1995 FB21,42.426,42.426,7.5,19950324,0,209.6,28.4,0.7,0,42.426,( 9d),MPC 25408,3/29/1995,413,"S. F. Green, N. McBride"
,1995 DC2,41.675,47.14,7.2,20160113,276.7,114.1,154.1,2.3,0.062,44.407,7,MPO 331225,2/24/1995,568,"J. X. Luu, D. C. Jewitt"
,1995 DB2,40.227,53.471,7.6,20160113,21.7,2.5,128.6,4.1,0.141,46.849,6,MPO 339365,2/24/1995,568,"D. C. Jewitt, J. X. Luu"
,1994 TG2,42.448,42.448,7,19941015,0,358.7,353.3,2.2,0,42.448,( 32d),MPC 25715,10/8/1994,809,O. R. Hainaut
,1994 TH,40.94,40.94,7,19940925,0,356.6,12.1,16.1,0,40.94,( 3d),MPC 24084,10/3/1994,568,"J. Chen, D. C. Jewitt, G."
,1994 TG,42.254,42.254,7,19940925,0,353,15.5,6.8,0,42.254,( 3d),MPC 24084,10/3/1994,568,"J. Chen, D. C. Jewitt, G."
